about;name;Organisation_oGRN;Organisation_ChildOrganisations;Organisation_Roles
138d3d20c2db49a894978270d7ef1f00;Внуковская дистанция электроснабжения Московской дирекции по энергообеспечению;1037739877295;;
af9e2608ec164e50a0885c9901ae2cc2;ООО «СВИСС КРОНО»;1024402034117;;
375371f7e7de4df79eaa77baaee8173d;Филиал ПАО «РусГидро» — «Бурейская ГЭС»;1042401810494;;
170d616d38404492aede56a7f06c6cc9;Филиал ПАО «АНК «Башнефть» «Башнефть - Уфанефтехим»;1020202555240;;
00461a13f6d34962b61062e280efd3fb;Электроаппарат;;;
13f6bf84a634472aa689578fe770ff5a;Филиал ПАО «Россети Сибирь» - «Алтайэнерго»;1052460054327;;
361d598ac89b448492581c622f746541;SKODA;;;
765f6785ec414e9a8e252a01dacd3d89;Филиал ПАО «Россети Ленэнерго» «Выборгские электрические сети»;1027809170300;;
abc25b657edc4fe69e9f9b366e98dec5;АО «Омский каучук»;1025500520297;;
aae5899c2a5f486487030e55673cdd00;Филиал ПАО «РусГидро» - «Каскад Верхневолжских ГЭС»;1027601110063;;
8e3ed5c9e3b94f3c8cc3fba3b5dc087d;Иркутское РНУ ООО «Транснефть-Восток»;1063801003617;;
faea7248ef944f2ba445981abf85b867;Филиал ПАО «Россети» Центральное ПМЭС;1024701893336;;
3d77924f7ed145598e738791e22fa21a;АО ГосМКБ «Радуга» им. Березняка;1055024900006;;
fd2ead1c820c429da363f809e4ec96b0;ПАО «Южно-Кузбасская ГРЭС»;1064205110122;;
2cbe55782d824dd0912f258dbbdb91b8;Сковородинская дистанция электроснабжения Забайкальской дирекции по энергообеспечению;1037739877295;;
76f3f34d3e704b5aa1baa13bfb8e3b61;Филиал ПАО «Россети Центр» - «Тамбовэнерго»;1026801230466;;
b3ae8329d3cc48318f0314d88d95af6f;Филиал АО «Концерн Росэнергоатом» «Курская атомная станция»;5087746119951;;
29948cdf0ee74bd688f454c428ba6438;Улан-Удэнская дистанция электроснабжения Восточно-Сибирской дирекции по энергобеспечению;1037739877295;;
9e6ed90abe4549c9bfefa2988ba8b3a9;АО «ГОК «Денисовский»;1031401726157;;
2d3f51f7ff044839a34ed47caeed5b6a;АО «БерезкаГаз Обь»;1088601002522;;
194cd650d8ba47dd89bb0f2b76ba2404;ФБУ «Администрация «Волго-Балт»;1027810270553;8bf1e598c6634eacbdb7e52b6c316c2b;
0b753b261ef446289c48074ea6fc6801;Филиал АО «РИР Энерго» - «Липецкая генерация»;1056882304489;;
523d0d549cd04894afe83b4429e24bf1;ООО «ЭН+ ГИДРО»;1123850033042;;
a2e03ebe30314ce7bea9638abfbcef76;ООО «Ларта Гласс Ростов» ;1096148000024;;
