about;name;OrganisationRole_Objects
2b06f3c1350a46fd9f6d0ec58317548d;Владение ПАО «ОДК-Сатурн»;
81790bcdb3a24987bd226a4c8bf19777;Владение АО «Курганмашзавод»;
4335e45ca22d411386962a899b9bcb84;Владение ООО «Сибирские Промышленные Решения»;
b971cd6373d04ee0bb264fe54173d3da;Владение ООО «БрянскЭлектро»;
635f84ad27ad4bc486d28f3e4db2b78f;Владение ООО «Интеграл» Юргинское обособленное подразделение;
59f0dea343454caf846a5820fd6d473f;Владение ООО «РН-Пурнефтегаз»;
b47a3b5e56bc40f59d6c1e9b66e5c221;Владение ООО «ИСТЭК»;
5590f16cf632461fadc454775fd78b31;Владение ООО «Володарск-энерго»;
953bf00a01284be2b91a97926c513e64;Владение АО «Ургалуголь»;
2d2b85bb3ebe4f8fbea263fe7211e927;Владение ООО «Амурский гидрометаллургический комбинат»;
a0bbf82012f845debbf556dd420d87c4;Владение ОАО «Северсталь-метиз»;
740db6fd334e42cfaeca38e2b6c4a5a9;Владение АО «ВКЗ»;
1336610fed9d4a9dbe3cc3ed7708697c;Владение ООО «Газпром трансгаз Ухта»;
89b876995df7444ca8fc5c30029d5436;Владение ООО «Энергоцентр Билибино»;
140d4c473f0b42f4aa959fb63c236b4d;Владение АО «Святогор»;
aff10855c76c43bf97a4c0a8f1ecf562;Владение ООО «Энерго Пром Сети»;
3664dfa0808848eabc52bf49dd994162;Владение ООО «Второй Ветропарк ФРВ»;
e84caa33a0ac412a8520420f3fcd427e;Владение ООО «Овощи Черноземья»;
765b55b88c2948e8aee20a75655d6a96;Владение АО «Пензадизельмаш»;
e9efdeaec7c74588bd3d97ce231b6365;Владение ООО «Хевел РГ»;
890e491e236d47d28cc3675e30b656d1;Владение ФГБОУ ВО «НИУ «МЭИ»;
d5312efb34334331bf721d6cc5522ca7;Владение ООО «Транснефть-Восток»;
3d3e54f01d7d4e47af27485a16229256;Владение ООО «СТН-Энергосети»;
dd0afecaa3ca444a828a97f4b894414b;Владение ПАО «Дорогобуж»;
fa46b404299c4b6d812787a3b1305b5d;Владение Филиал АО «Транснефть-Урал» Черкасское нефтепроводное управление;
1bdcbe7e8e704383bf6350b8b77c171e;Владение ООО «Газпромнефть-Восток»;
358a7b73f33341ee89c7da6052be6f46;Владение АО «Сибирь-Полиметаллы»;
3b2114719ea54703a63f973eb714e147;Владение АО «Транснефть – Верхняя Волга»;
1937a3f56bb44c538e8dda3ea70ac18a;Владение КАО «Азот»;
00a5a4dfb19644feb6feb7bfe42bc7cc;Владение ООО «ДагЭнерЖи»;
cca6f5286a794500a4db5b166dbd1120;Владение Филиал ПАО «Ил» - Авиастар;
031b0569193f4de2ae4d412e899bfb80;Владение Иркутское РНУ ООО «Транснефть-Восток»;
75fc4c8c66a8459486d6e8ecb59b2068;Владение ООО «Энерготранс»;
df5a8fe6cb324f569622cf1081f69bf6;Владение АО «ЦИУС ЕЭС»;
40b3752b34ca49f78dfa4ccd3512c275;Владение АО «ИИК»;
a7ac085f060d40d4b8b74c00ba4a1fa9;Владение ООО «Синергия»;
08870757b203448e8563fbd35ec23995;Владение АО «РНПК»;
6322985d041f477f94e6e96ae9876f03;Владение ФГБУ «Управление по эксплуатации зданий в Северо-Западном федеральном округе»;
dc3b2e6f32d64cdc9a79b1a1c10371f8;Владение ООО «АСЭП»;
2eb96db7c4c743aa8d81407288e6d021;Владение ООО «Газпром СПГ Портовая»;
b5f08f4ab6d5493196d670d150403d46;Владение ООО «Универсал-Энерго»;
5775151b3ae945af9cfe4b11db2c6db0;Владение АО «СХК»;
8245fc354b094ef4bf8b8242c237cd7f;Владение ООО «Хенкель Рус»;
5ef86f1b4df1420387bc6d01408dc242;Владение ООО «Электрические сети Удмуртии»;
5e73aec1324745489f2ce16272f3cf1e;Владение АО «Аммоний»;
3ba8ef8352764a8da76af98f0490f57e;Владение РЗКС ЮВО - филиал ФКП «УЗКС МО РФ»;
741d1cf09119403a8044793ec80f4081;Владение ООО «Юргинский машзавод»;
7efc38edbd5b45d9b13cdb840344ffe8;Владение ООО «Объединенные электрические сети»;
4f3ec8854b654af69e942cb1b6a8c781;Владение АО «Салехардэнерго»;
418a2624302a4b92baec196001a67c6e;Владение ПАО АНК «Башнефть»;
7facbc34f2d84718aaa4a971f483060a;Владение ООО «РСК»;
6b9381cc522343fc9c57d00fa09e1ffd;Владение ООО «Морской порт «Суходол»;
d1c38ce619fb461e933872c0913a2059;Владение АО «РИД Групп-Новосибирск»;
9b6c404ec3704c3da69b0d5d8c62381d;Владение ООО «Транснефть - Порт Приморск»;
ab3c42d7d7b54fe187099117306facf1;Владение ЗАО «ЭИСС»;
1d220b3c25d046918dbd0c6b549dc990;Владение Надымский филиал ООО «Газпром энерго»;
4679d326092442b09fcd364af3d0bded;Владение ФГУП «РФЯЦ-ВНИИЭФ»;
2f11408c57a8428d8694a48416553552;Владение ООО «Сады Гиганта»;
cd4133dfb96645efa4d2161204c53bb2;Владение ООО «УК «Колмар»;
fa54b28a6cbb4dabb27624c8207c92a7;Владение ООО «ЧТЗ-Уралтрак»;
9e7fb6f2a3df483081995c064effed81;Владение Приуральский филиал ООО «Газпром энерго»;
9e7e2e446fb348e186274fc3d7875e5e;Владение АО «ОЭЗ ППТ «Алабуга»;
0e4f7ccaa7b144cab48ce07f2c7ca745;Владение ООО «Газпром энерго»;
36071d546380412cb1de58ead84b8bc0;Владение АО «РУСАЛ Красноярск»;
a47ac43e2103454f8fc2c752af5c797c;Владение АО «Сахарный завод «Свобода»;
